ぐ
ぐい‐ぐい
ぐ‐いち【五一】
ぐいち‐さぶろく【五一三六】
ぐい‐と
ぐい‐のみ【ぐい飲み】
ぐい‐まつ【ぐい松】
グインサーガ【グイン・サーガ】
ぐう
ぐう【寓】
ぐう
ぐう【宮】
ぐう【偶】
ぐう【寓】
ぐう【遇】
ぐう【隅】
グウィネズ
ぐう‐い【寓意】
ぐうい‐しょうせつ【寓意小説】
ぐう‐いん【偶因】
ぐういん‐ろん【偶因論】
グウェル
グウェロ
ぐう‐えい【偶詠】
グウエイルベ
ぐう‐かく【隅角】
ぐう‐かん【偶感】
ぐう‐かんすう【偶関数】
ぐうき‐せい【偶奇性】
ぐう‐きょ【寓居】
ぐう‐ぎん【偶吟】
ぐう‐ぐう
ぐう‐け【郡家】
ぐう‐げ【藕花】
ぐう‐げん【寓言】
ぐうげん‐ほう【寓言法】
ぐう‐ご【偶語】
ぐう‐ごう【偶合】
ぐう‐さく【偶作】
ぐう‐し【藕糸】
ぐう‐しゃ【宮社】
ぐう‐しゃ【寓舎】
ぐう‐しゅう【寓宗】
ぐう‐しょ【寓所】
ぐう‐じ【宮司】
ぐう‐じ【宮寺】
ぐうじ‐ゆ【窮子喩】
ぐう‐じん【偶人】
ぐう‐すう【偶数】
ぐうすか
ぐう・する【寓する】
ぐう・する【遇する】
ぐう‐せい【偶成】
ぐう‐せい【寓生】
ぐう‐ぜん【偶然】
ぐうぜん‐せい【偶然性】
ぐうぜん‐の‐きょぎ【偶然の虚偽】
ぐうぜん‐はっせい【偶然発生】
ぐうぜん‐はっせいせつ【偶然発生説】
ぐうぜん‐へんい【偶然変異】
ぐうぜん‐ろん【偶然論】
ぐう‐ぞう【偶像】
ぐうぞう‐か【偶像化】
ぐうぞう‐し【偶像視】
ぐうぞう‐すうはい【偶像崇拝】
ぐうぞう‐はかい【偶像破壊】
ぐうたら
ぐうたら‐べえ【ぐうたら兵衛】
ぐう‐ちゅう【偶中】
ぐうてい‐るい【偶蹄類】
ぐうの音(ね)も出◦ない
ぐう‐はつ【偶発】
ぐうはつ‐さいむ【偶発債務】
ぐうはつ‐しほん【偶発資本】
ぐうはつ‐しょう【偶発症】
ぐうはつ‐せんそう【偶発戦争】
ぐうはつ‐そんしつ【偶発損失】
ぐうはつそんしつ‐ひきあてきん【偶発損失引当金】
ぐうはつてき‐しょけん【偶発的所見】
ぐうはつ‐はん【偶発犯】
ぐうはつ‐みしょう【偶発実生】
ぐう‐ぱあ
ぐう‐もく【寓目】
ぐう‐ゆう【偶有】
ぐうゆう‐せい【偶有性】
ぐうゆうてき‐ぞくせい【偶有的属性】
ぐう‐りょく【偶力】
ぐう‐れつ【偶列】
ぐう‐わ【寓話】
ぐうわしゅう【寓話集】
ぐ‐えい【愚詠】
グエサウン
グエル‐こうえん【グエル公園】
グエル‐てい【グエル邸】
グエン‐ちょう【グエン朝】
げんちょう‐おうきゅう【阮朝王宮】
ぐかんしょう【愚管抄】
ぐ‐がん【弘願】
ぐ‐がん【具眼】
ぐ‐き【虞姫】
ぐ‐きょ【愚挙】
ぐ‐きょう【弘経】
ぐきょう‐だいし【弘経大士】
ググアン‐とう【ググアン島】
ググ・る
ぐ‐けい【愚兄】
ぐ‐けい【愚計】
ぐけつげてんしょう【弘決外典抄】
ぐ‐けん【愚見】
ぐ‐げん【具現】
ぐ‐こう【愚公】
ぐ‐こう【愚考】
ぐ‐こう【愚行】
ぐ‐こう【愚稿】
愚公(ぐこう)山を移す
く‐ご【供御】
くさ【種】
ぐ‐さい【供祭】
ぐ‐さい【救済】
ぐさい【救済】
ぐ‐さい【愚才】
ぐ‐さい【愚妻】
ぐ‐さく【愚作】
ぐ‐さく【愚策】
ぐさ‐ぐさ
ぐさっ‐と
ぐ‐さつ【愚札】
ぐ‐さつ【愚察】
ぐさり
ぐ‐ざい【具材】
グザイ
グザイ‐りゅうし【Ξ粒子／グザイ粒子】
ぐ‐し【五四】
ぐ‐し【愚姉】
ぐ‐し【虞氏】
ぐしかわ【具志川】
ぐしかわ‐し【具志川市】
ぐし‐ぐし
ぐし‐ぬい【串縫い】
ぐ‐しゃ【愚者】
ぐしゃ‐ぐしゃ
ぐしゃっ‐と
愚者(ぐしゃ)にも一得(いっとく)
ぐしゃのよる【愚者の夜】
愚者(ぐしゃ)も千慮(せんりょ)に一得(いっとく)あり
ぐしゃり
ぐしゃれつでん【愚者列伝】
グシュタード
ぐ‐しゅん【虞舜】
ぐ‐しょ【具書】
ぐ‐しょ【愚書】
ぐ‐しょう【具象】
ぐしょう‐てき【具象的】
ぐしょ‐ぐしょ
ぐしょ‐ぬれ【ぐしょ濡れ】
ぐ‐しん【供進】
ぐ‐しん【具申】
ぐ‐しん【愚心】
ぐ‐しん【愚臣】
ぐ‐しん【愚身】
ぐしんらいさん【愚神礼讃】
グジェリ
ぐじ‐ぐじ
グジップ
ぐじゃ‐ぐじゃ
グジャラート
ぐ‐じょ【愚女】
ぐ‐じょう【具状】
ぐじょう【郡上】
ぐじょう‐おどり【郡上踊（り）】
ぐじょう‐し【郡上市】
ぐじょう‐ぶし【郡上節】
ぐ‐じん【愚人】
ぐすく
ぐす‐ぐす
グスタビア
グスタフ
キルヒホッフ
クリムト
シュモラー
ホルスト
マーラー
モロー
レオンハルト
ベッケル
ぐす‐と
グスリ
ぐ・する【具する／倶する】
ぐすん
ぐず【愚図】
ぐ‐ずう【弘通】
ぐず‐ぐず【愚図愚図】
ぐず‐つ・く【愚図つく】
グズベリ
ぐ‐ずみ【具墨】
ぐずら‐ぐずら【愚図ら愚図ら】
ぐず・る【愚図る】
く‐せ【救世】
ぐ‐せい【愚生】
ぐ‐せいなん【虞世南】
ぐ‐せつ【愚説】
ぐ‐せつ【愚拙】
ぐ‐せん【供饌】
ぐ‐ぜい【弘誓】
ぐ‐ぜい【貢税】
ぐ‐ぜい【虞芮】
ぐぜい‐そう【弘誓相】
ぐぜい‐の‐あみ【弘誓の網】
ぐぜい‐の‐うったえ【虞芮の訴え】
ぐぜい‐の‐うみ【弘誓の海】
ぐぜい‐の‐ふね【弘誓の船】
ぐぜい‐の‐よろい【弘誓の鎧】
ぐぜい‐ぼう【弘誓房】
ぐぜい‐りょうしょ【貢税料所】
ぐぜり【口舌り】
くぜ・る【口舌る／口説る】
ぐ‐そう【供僧】
ぐ‐そう【具相】
ぐ‐そう【愚草】
ぐ‐そう【愚僧】
ぐ‐そく【具足】
ぐ‐そく【愚息】
ぐそく‐おや【具足親】
ぐそく‐かい【具足戒】
ぐそく‐かたびら【具足帷子】
ぐそく‐がね【具足金】
ぐそく‐し【具足師】
ぐそく‐だい【具足鯛】
ぐそく‐に【具足煮】
ぐそく‐ばおり【具足羽織】
ぐそく‐びつ【具足櫃】
ぐそく‐びらき【具足開き】
ぐそく‐ぶぎょう【具足奉行】
ぐそく‐むしゃ【具足武者】
ぐそく‐もち【具足餅】
ぐ‐ぞん【愚存】
ぐ‐たい【具体】
ぐたい‐あん【具体案】
ぐたい‐か【具体化】
ぐたい‐がいねん【具体概念】
ぐたい‐せい【具体性】
ぐたい‐てき【具体的】
ぐたいてき‐しんり【具体的真理】
ぐた‐ぐた
ぐたっ‐と
ぐたり
グダウリ
ぐ‐だくさん【具沢山】
ぐだ‐ぐだ
グダニスク
グダンスク
ぐち
ぐ‐ち【愚知／愚智】
ぐ‐ち【愚痴／愚癡】
ぐち【共】
ぐち‐ぐち
ぐちっ‐ぽ・い【愚痴っぽい】
愚痴(ぐち)の闇(やみ)
ぐち‐ばなし【愚痴話】
ぐちゃ‐ぐちゃ
ぐちゃ‐つ・く
ぐちゃり
ぐ‐ちゅう【愚衷】
ぐちゅう‐しゅうきゅう【愚中周及】
ぐちゅう‐れき【具注暦】
ぐ‐ちょく【愚直】
ぐちょ‐ぐちょ
ぐち・る【愚痴る】
愚痴(ぐち)をこぼ・す
ぐ‐ちん【具陳】
グッゲンハイム‐びじゅつかん【グッゲンハイム美術館】
ぐっしょり
グッ‐ジョブ
ぐっすり
グッズ
グッタ‐ペルカ
グッタペルカ‐の‐き【グッタペルカの木】
ぐったり
グッチ
ぐっ‐と
グッド
グッド‐アイデア
グッド‐アフターヌーン
グッド‐イブニング
グッドウイル
グッドウイル‐ガイド
グッド‐タイミング
グッド‐デザイン
グッドデザイン‐しょう【グッドデザイン賞】
グッド‐ナイト
グッド‐バイ
グッドパスチャー‐しょうこうぐん【グッドパスチャー症候群】
グッドマン
グッド‐モーニング
グッド‐ラック
グッド‐ルッキング
グッド‐ルーザー
グッ‐バイ
グッバイ‐ガール
グッビオ
グッピー
ぐつ
ぐ‐つう【弘通】
ぐつ‐ぐつ
ぐ‐てい【愚弟】
グディニア
ぐで‐ぐで
グデ‐さん【グデ山】
ぐでん‐ぐでん
ゲデ‐さん【ゲデ山】
ぐ‐とう【愚答】
ぐ‐とく【具徳】
ぐ‐とく【愚禿】
ぐとくしょう【愚禿鈔】
グトル‐たき【グトル滝】
グトルフォス
グドゥルー
グドゥルー‐きゅうでん【グドゥルー宮殿】
ぐ‐どう【求道】
ぐどう‐とうしょく【愚堂東寔】
ぐ‐どん【愚鈍】
グナイスト
ポンペイウス
ぐな‐ぐな
ぐ‐に【五二】
愚(ぐ)に返・る
愚(ぐ)にも付(つ)かぬ
ぐにゃ‐ぐにゃ
ぐにゃっ‐と
ぐにゃり
グニュー
ぐ‐にん【愚人】
愚人(ぐにん)は夏(なつ)の虫(むし)
グヌン‐カウィ
グヌンガディン‐こくりつこうえん【グヌンガディン国立公園】
グヌンシトリ
グヌンパルン‐こくりつこうえん【グヌンパルン国立公園】
グヌンムル‐こくりつこうえん【グヌンムル国立公園】
グヌンルスル‐こくりつこうえん【グヌンルスル国立公園】
グヌンレイセル‐こくりつこうえん【グヌンレイセル国立公園】
グヌー
グヌー‐いっぱんこうてきしようきょだく【GNU一般公的使用許諾】
グヌー‐ジーピーエル
グヌー‐ピージー
グヌー‐ライセンス【GNUライセンス】
オルガンチノ
愚(ぐ)の骨頂
グノシェンヌ
ぐ‐の‐もの【具の者】
グノー
グノーシス
グノーシス‐は【グノーシス派】
ぐ‐はつ【倶発】
ぐはん‐しょうねん【虞犯少年】
グバウフカ‐さん【グバウフカ山】
ぐ‐ばく【具縛】
グバルンガ
ぐ‐ひつ【愚筆】
ぐ‐ひん【狗賓】
ぐ‐び【具備】
ぐび‐ぐび
ぐ‐びじん【虞美人】
ぐびじん‐そう【虞美人草】
ぐびじんそう【虞美人草】
ぐびり‐ぐびり
ぐ‐ふ【愚夫】
ぐ‐ふ【愚父】
ぐ‐ふ【愚婦】
ぐ‐ふう【颶風】
ぐふく‐じ【弘福寺】
ぐ‐ふたいてん【倶不戴天】
ぐふとく‐く【求不得苦】
ぐ‐ぶ【弘布】
ぐ‐ぶ【供奉】
ぐぶ‐そう【供奉僧】
く‐ぶつ【供仏】
ぐ‐ぶつ【愚物】
グプタ‐ちょう【グプタ朝】
ぐ‐ほう【弘法】
ぐ‐ほう【求法】
ぐほう‐じ【弘法寺】
ぐ‐ぼ【愚母】
ぐ‐まい【愚妹】
ぐ‐まい【愚昧】
ぐみ【茱萸／胡頽子】
グミ
グミ‐キャンデー
ぐみ‐ざけ【茱萸酒／胡頽子酒】
ぐみ‐ぶくろ【茱萸袋／胡頽子袋】
ぐみょう‐じ【弘明寺】
ぐ‐みん【愚民】
ぐみん‐かん【愚民観】
ぐみん‐せいさく【愚民政策】
ぐ・む
グムンデン
グメリン
く‐めん【工面】
ぐ‐もう【愚蒙】
く‐もつ【供物】
ぐ‐もん【愚問】
ぐもん‐ぐとう【愚問愚答】
ぐもんけんちゅう【愚問賢注】
ぐもんじ‐ほう【求聞持法】
グヤーシュ
ぐ‐ゆう【具有】
グラウンド‐カバー
くらい【位】
ぐらい
グラ‐イコ
グライ‐そう【グライ層】
グライダー
グライディング
グライド‐スロープ
グライド‐パス
グラインダー
グラインド
グラウコーマ
グラウス
グラウチング
グラウト
グラウト‐ポンプ
グラウ‐ひろば【グラウ広場】
グラウンダー
グラウンディング
グラウンド
グラウンドキーパー
グラウンド‐クラッター
グラウンド‐ゴルフ
グラウンドシーツ
グラウンド‐スタッフ
グラウンド‐ストローク
グラウンド‐スマッシュ
グラウンド‐ゼロ
グラウンド‐ビジョン
グラウンド‐フレア
グラウンド‐フロア
グラウンド‐プラン
グラウンド‐ホステス
グラウンドホッグ
グランドホテル‐ほうしき【グランドホテル方式】
グラウンド‐ボーイ
グラウンド‐マナー
グラウンド‐ルール
グラウンド‐レスリング
グラウンド‐ワイヤー
グラウンド‐ワーク
ぐら‐ぐら
グラゴル‐ミサ
グラサン
グラシ
グラシアス
グラシン‐し【グラシン紙】
グラシン‐ペーパー
グラジオラス
グラジオラスのみみ【グラジオラスの耳】
グラジュアリズム
グラス
グラス
グラス
グラス‐ウール
グラス‐クロス
グラス‐コックピット
グラスコップ
グラス‐コート
グラスゴー‐グリーン
グラスゴー‐だいせいどう【グラスゴー大聖堂】
グラスゴー
グラス‐シーリング
グラス‐スキー
グラススティーガル‐ほう【グラス・スティーガル法】
グラス‐ステージ
グラスト
グラスノスチ
グラスハウスマウンテン‐こくりつこうえん【グラスハウスマウンテン国立公園】
グラス‐ハーモニカ
グラス‐バンカー
グラスファイバー‐ポール
グラス‐ファイバー
グラスフェッド
グラスホッパー
グラスホッパー
グラスボトム‐ボート
グラス‐ボート
グラスマーケット
グラスミア
グラス‐リスト【GRASリスト】
グラス‐ルーツ
グラスレイ
グラス‐ワイン
グラスを重(かさ)・ねる
グラスを傾(かたむ)・ける
グラズノフ
グラタン
グラチェ
グラックス
グラッシ
グラッセ
ぐらっ‐と
グラットン
グラッドストン
グラッドストン
グラッドストン
グラッドストーン
グラッパ
デレッダ
グラツィエ
グラツィオーソ
ぐら‐つ・く
グラディアトル
グラディエーター
グラディエーター‐サンダル
グラデーション
グラデーション‐カット
グラデツ
グラトコフ
グラ‐ドル
グラナ
グラナイト
グラナダ
グラナダ
グラナダ‐だいせいどう【グラナダ大聖堂】
グラナドス
グラナ‐パダーノ
グラニテ
グラニュー‐とう【グラニュー糖】
グラニーズ‐バッグ
グラヌム
グラノビータヤ‐きゅうでん【グラノビータヤ宮殿】
グラノーラ
グラハムズタウン
ベル
グラバー‐キック
グラバー‐てい【グラバー邸】
グラビア
グラビア‐アイドル
グラビア‐ざっし【グラビア雑誌】
グラビア‐ページ
グラビティー‐モデル
グラビティー
グラビティーノ
グラビトン
グラビール
グラフ
グラフ
グラフ‐ごひゃく
グラファイト
グラファイト‐シート
グラフィカル
グラフィカル‐プログラミングげんご【グラフィカルプログラミング言語】
グラフィカル‐ユーザーインターフェース
グラフィックス‐アクセラレーター
グラフィックス‐アダプター
グラフィックス‐エンジン
グラフィックス‐カード
グラフィックス‐ソフト
グラフィックス‐チップ
グラフィックスプロセッシング‐ユニット
グラフィックス‐ボード
グラフィックス‐メモリー
グラフィックス‐ワークステーション
グラフィッカー
グラフィック
グラフィック‐アクセラレーター
グラフィック‐アダプター
グラフィック‐アート
グラフィック‐イコライザー
グラフィック‐エンジン
グラフィック‐カード
グラフィック‐ソフト
グラフィック‐タブレット
グラフィック‐チップ
グラフィック‐ディスプレー
グラフィック‐デザイナー
グラフィック‐デザイン
グラフィックプロセッシング‐ユニット
グラフィック‐ペン
グラフィック‐ボード
グラフィック‐メモリー
グラフィック‐ワークステーション
グラフィティ
グラフィティ‐アート
グラフェン
グラフォスコープ
グラフ‐サーチ
グラフ‐チェック
グラフト
グラフトン
グラフトン‐がい【グラフトン街】
グラフトン‐ストリート
グラフ‐りろん【グラフ理論】
グラブ
グラブ
グラブ‐スタート
グラブ‐バケット
グラプトライト
グラベル
グラボ
グラマシー
グラマラス
グラマー
グラマー
グラマー‐ガール
グラマー‐スクール
グラミス‐じょう【グラミス城】
グラミン‐ぎんこう【グラミン銀行】
グラミー‐しょう【グラミー賞】
グラム
グラム【瓦】
グラム‐イオン
グラムいんせい‐きん【グラム陰性菌】
グラム‐カロリー
グラム‐げんし【グラム原子】
グラムシ
グラム‐しきりょう【グラム式量】
グラム‐じゅう【グラム重】
グラム‐せんしょく【グラム染色】
グラム‐とうりょう【グラム当量】
グラム‐トン
グラム‐ぶんし【グラム分子】
グラムようせい‐きん【グラム陽性菌】
グラムラドマン‐ほう【グラムラドマン法】
グラム‐リーチ‐ブライリー‐ほう【グラム・リーチ・ブライリー法】
グラム‐ロック
グラモキソン
グラモフォン
グラヤノトキシン
ぐらり
ぐらり‐ぐらり
グラン‐エスト
グラン‐オフィシエ
グラン‐カジノ
グランカナリア‐とう【グランカナリア島】
グラン‐ギニョール
グラン‐クロワ
グラン‐サバナ
グランサブロン‐ひろば【グランサブロン広場】
グラン‐シェフ
グランジ
グラン‐ジュテ
グランジ‐ロック
グランス
グラン‐ソッコ
グランタウン‐オン‐スペイ
グラン‐ダルシュ
グラン‐チャコ
グランツ‐パス
グラン‐ツーリスモ
グラン‐ツール
グランデ
グランディオーソ
グラン‐ディル
グラント
グラント‐エレメント
グラント‐パーク
グランド‐オペラ
グラン‐トリアノン
グランド
グランド
グランド‐アイランド
グランドエタング‐こくりつこうえん【グランドエタング国立公園】
グランド‐オダリスク
グランド‐キャニオン
グランドクーリー‐ダム
グランドケイマン‐とう【グランドケイマン島】
グランドコモロ‐とう【グランドコモロ島】
グランド‐サークル
グランド‐ジャンクション
グランド‐ジョラス
グランド‐スラム
グランド‐セオリー
グランド‐セール
グランドタック‐モデル
グランド‐ターク
グランドターク‐とう【グランドターク島】
グランド‐ツーリング‐カー
グランドティートン‐こくりつこうえん【グランドティートン国立公園】
グランドティートン‐さん【グランドティートン山】
グランドテール‐とう【グランドテール島】
グランド‐デザイン
グランド‐トータル
グランド‐バザール
グランドバハマ‐とう【グランドバハマ島】
グランド‐バンクス
グランドバーゲン‐こうそう【グランドバーゲン構想】
グランド‐ピアノ
グランド‐ファイナル
グランド‐フィナーレ
グランドフィナーレ【グランド・フィナーレ】
グランド‐フォークス
グランド‐プリズマティックスプリング
グランドミステリー【グランド・ミステリー】
グランド‐メサ
グランド‐ラピッズ
グランド‐リビエラ
グラン‐バッサム
グラン‐バッサン
グランパ
グランパス
グラン‐パ‐ド‐ドゥー
グラン‐パルティータ
グラン‐パレ
グランヒータ‐シボネイ
グラン‐ビア
グランビル‐の‐ほうそく【グランビルの法則】
グランピアンズ‐こくりつこうえん【グランピアンズ国立公園】
グランピング
グラン‐ブール
グラン‐プラス
グラン‐プリ
グランプリ‐レース
グラン‐ベ
グラン‐ポポ
グランマ
グランマごうじょうりくきねん‐こくりつこうえん【グランマ号上陸記念国立公園】
グラン‐マニエ
グラン‐マルニエ
グラース
グラーズミア
グラーツ
グラーフ‐ライネ
グラーフ‐ろほう【グラーフ濾胞】
グラーベ
グラームス‐じょう【グラームス城】
ぐり【屈輪／倶利】
グリア‐さいぼう【グリア細胞】
グリアジン
グリアミール‐びょう【グリアミール廟】
グリエ
グリエフ
グリオブラストーマ
グリオーマ
ぐり‐ぐり
ぐり‐ぐり【屈輪屈輪】
グリグリ‐みさき【グリグリ岬】
グリコアルブミン
グリココル
グリコサミノグリカン
グリコシダーゼ
グリコシド
グリコシド‐けつごう【グリコシド結合】
グリコセレブロシド
グリコリシス
グリコロニトリル
グリコーゲン
グリコール
グリコールアルデヒド
グリコール‐さん【グリコール酸】
ペレルマン
グリザイユ
グリシニン
グリシン
グリス
グリス
グリース‐トラップ
グリズリー
グリセミック‐インデックス
グリセミック‐しすう【グリセミック指数】
グリセリド
グリセリン
グリセロール
グリセード
グリソン‐びょう【グリソン病】
グリチルリチン
グリッサンド
グリッシーニ
グリッター
グリッチ
グリット
グリッド
グリッド‐コンピューティング
グリッド‐さいぼう【グリッド細胞】
グリッド‐ロック
グリップ
グリップ‐エンド
グリップスホルム‐じょう【グリップスホルム城】
ぐりとぐら
グリトビケン
グリニッジ
グリニッジ‐てんもんだい【グリニッジ天文台】
グリニッチ
グリニッジ‐しごせん【グリニッジ子午線】
グリニッジ‐じ【グリニッジ時】
グリニッジ‐とう【グリニッジ島】
グリニッジ‐ひょうじゅんじ【グリニッジ標準時】
グリニッジ‐ビレジ
グリニャール
グリニャール‐しやく【グリニャール試薬】
ぐり‐はま
グリフ
グリファダ
グリフィス
グリフィス
グリフィス‐こうえん【グリフィス公園】
グリフィス‐てんもんだい【グリフィス天文台】
グリフィス‐パーク
グリフィン
グリフィン‐ビーカー
グリフォン
グリ‐ブラ
グリプトドン
グリベック
グリホサート
グリホセート
グリボエードフ
グリム
グリムズビー
グリム‐どうわ【グリム童話】
グリュイエール
グリュイエール‐チーズ
グリュックスブルク‐じょう【グリュックスブルク城】
グリュプス
グリューネワルト
グリューワイン
ぐ‐りょ【愚慮】
グリル
グリル‐ガード
グリルパルツァー
グリンカ
ぐりん‐だま【屈輪玉】
グリンツィング
グリンデルワルト
グリンパティック‐けい【グリンパティック系】
グリンパティック‐システム
グリン‐ピース
グリンプス
グリンメルスハウゼン
グリー
グリー
グリーク
グリー‐クラブ
グリーグ
グリーシャれんさく【グリーシャ連作】
グリース
グリース‐アイス
グリース‐ガン
グリース‐しやく【グリース試薬】
グリーター
グリーティング‐カード
グリード
グリーフ
グリーフ‐ケア
グリーフ‐ワーク
グリーン
グリーン
グリーン
グリーン
グリーン‐ごひゃく
グリーン‐アイシーティー【グリーンICT】
グリーン‐アイティー
グリーン‐アスパラガス
グリーン‐アプローチ
グリーン‐インテリア
グリーン‐インフラ
グリーン‐インフラストラクチャー
グリーンウオッシュ
グリーンウォッシュ‐さいけん【グリーンウォッシュ債券】
グリーンウッド
グリーンウッド‐グレートハウス
グリーン‐エージ
グリーンエナジー‐けいかく【グリーンエナジー計画】
グリーン‐エネルギー
グリーン‐かでん【グリーン家電】
グリーン‐カラー
グリーン‐カレー
グリーン‐カーテン
グリーン‐カード
グリーン‐カーボン
グリーンきこう‐ききん【グリーン気候基金】
グリーン‐きちきょく【グリーン基地局】
グリーンキーパー
グリーン‐けいざい【グリーン経済】
グリーンけさつじんじけん【グリーン家殺人事件】
グリーン‐こうにゅう【グリーン購入】
グリーンこうにゅう‐ほう【グリーン購入法】
グリーン‐コンシューマーリズム
グリーン‐コーディネーター
グリーンコープ‐れんごう【グリーンコープ連合】
グリーン‐さい【グリーン債】
グリーン‐サラダ
グリーン‐しゃ【グリーン車】
グリーンしゃのこども【グリーン車の子供】
グリーンシート‐しじょう【グリーンシート市場】
グリーン‐ジョブ
グリーン‐すいそ【グリーン水素】
グリーンスクリーン‐ごうせい【グリーンスクリーン合成】
グリーンストーン
グリーンスリーブスによるげんそうきょく【グリーンスリーブスによる幻想曲】
グリーンズボロ
グリーン‐ソルト
グリーン‐タフ
グリーンタフ‐ちいき【グリーンタフ地域】
グリーン‐ちょうたつ【グリーン調達】
グリーン‐ツーリズム
グリーン‐ティー
グリーン‐でんりょく【グリーン電力】
グリーンでんりょく‐しょうしょ【グリーン電力証書】
グリーン‐とう【グリーン島】
グリーン‐とうし【グリーン投資】
グリーン‐とうしげんぜい【グリーン投資減税】
グリーン‐ニューディール
グリーンハウス‐ガス
グリーンバック
グリーンバック‐ごうせい【グリーンバック合成】
グリーン‐パラドックス
グリーン‐パーク
グリーン‐ビジネス
グリーンビル
グリーン‐ピア
グリーン‐ピーシー
グリーンピース
グリーン‐ピース
グリーン‐フィー
グリーンフィールド‐パピルス
グリーン‐フラッシュ
グリーン‐プラ
グリーン‐プロジェクト
グリーン‐ベイ
グリーンベルト
グリーン‐ベレー
グリーン‐ペッパー
グリーン‐ボンド
グリーン‐ポイント
グリーン‐マウス
グリーン‐マップ
グリーン‐マンデー
グリーン‐マーク
グリーン‐ミシュラン
グリーン‐めんきょ【グリーン免許】
グリーン‐メーラー
グリーンメール
グリーンランド
グリーンランド‐ひょうしょう【グリーンランド氷床】
グリーン‐ルーム
グリーンレクイエム【グリーン・レクイエム】
グリーン‐レボリューション
グリーン‐レモン
ぐる
くるい【狂い】
グルイーノ
グルオニウム
グルオン
グルカ
グルカゴン
グルカ‐へい【グルカ兵】
グルカン
グルガオン
グルガーン
グルクロン‐さん【グルクロン酸】
ぐるくん
ぐる‐ぐる
ぐるぐる‐まき【ぐるぐる巻（き）】
ぐるぐる‐まげ【ぐるぐる髷】
グルココルチコイド
グルコサミン
グルコシルセラミド
グルコセレブロシド
グルコマンナン
グルコース
グルコース‐こうか【グルコース効果】
グルコース‐スパイク
ぐるし・い【苦しい】
グルジア
グルジア‐ご【グルジア語】
グルジ‐モスク
グルタチオン
グルタミン
グルタミン‐ごうせいこうそ【グルタミン合成酵素】
グルタミン‐さん【グルタミン酸】
グルタミンさん‐ソーダ【グルタミン酸ソーダ】
グルタミンさん‐ナトリウム【グルタミン酸ナトリウム】
グルタミンさんピルビンさん‐てんいこうそ【グルタミン酸ピルビン酸転移酵素】
グルタミンさんピルビンさん‐トランスアミナーゼ【グルタミン酸ピルビン酸トランスアミナーゼ】
グルタミンシンテターゼ
グルック
ぐるっ‐と
グルッペ
グルテニン
グルテン
グルテン‐フリー
グルデン
グルド
グルドワラ‐バングラ‐サヒブ
ぐるなび
グルニエ
グルノーブル
グルババ‐の‐れいびょう【グルババの霊廟】
グルホシネート
ぐる‐まげ【ぐる髷】
グルマン
ぐるみ【包み】
グルミット
グルメ
ぐるめ【包め】
ぐるり
ぐるり‐おとし【ぐるり落とし】
ぐるり‐ぐるり
グルント
グルー
グルー
グルーオン
グルー‐ガン
グルーズ
グルートアイランド‐とう【グルートアイランド島】
グルート‐コンスタンシア
グルートフォンテーン
グルービー
グルーピング
グルーピー
グルーフィー
グルーブ
グループ
