ぜ【是】
ぜっか【舌禍】
ぜっかい【絶海】
ぜっかせん【舌下腺】
ぜっきょう【絶叫】
ぜっく【絶句】
ぜっけい【絶景】
ぜっこう【絶交】
ぜっこう【絶好】
ぜっこうちょう【絶好調】
ぜっこうのきかい【(…のための)絶好の機会】
ぜっこうのちゃんす【絶好のチャンス】
ぜっこん【舌根】
ぜっさん【絶賛】
ぜっしょう【絶唱】
ぜっしょく【絶食】
ぜっしん【舌診[ぜっしん]】
ぜっする【絶する】
ぜっせい【絶世】
ぜっせん【舌戦】
ぜったい【絶対】
ぜったい【舌苔[ぜったい]】
ぜったいあんせい【絶対安静】
ぜったいぜつめい【絶体絶命】
ぜったいのできたした【舌苔のできた舌】
ぜったん【舌端】
ぜっちょう【絶頂】
ぜっとう【舌頭】
ぜっぱん【絶版】
ぜっぴつ【絶筆】
ぜっぴん【絶品】
ぜっぺき【絶壁】
ぜっぽう【舌鋒】
ぜつえん【絶縁】
ぜつえんえきたい【絶縁液体】
ぜつがん【舌癌】
ぜつだい【絶大】
ぜつぼう【絶望】
ぜつみょう【絶妙】
ぜつみょうなへんか【微妙な変化】
ぜつめい【絶命】
ぜつめつ【絶滅】
ぜつめつきぐしゅ【絶滅危惧種】
ぜつめつきぐしゅのみつゆ【絶滅危惧種の密輸】
ぜつりん【絶倫】
ぜにあおい【銭葵】
ぜにかね【銭金】
ぜにがめ【銭亀】
ぜにごけ【銭苔】
ぜにん【是認】
ぜひ【是非】
ぜろかいとう【ゼロ回答】
ぜろきんりせいさく【ゼロ金利政策】
ぜろきんりせいさくをかいじょする【ゼロ金利政策を解除する】
ぜろべーすでみなおす【ゼロベースで見直す】
ぜん【善】
ぜん【禅】
ぜん【膳】
ぜんあく【善悪】
ぜんい【善意】
ぜんいき【全域】
ぜんいのぼらんてぃあ【善意のボランティア】
ぜんいん【全員】
ぜんえい【前衛】
ぜんおう【全欧】
ぜんおん【全音】
ぜんか【全科】
ぜんか【前科】
ぜんかい【全会】
ぜんかい【全壊全潰】
ぜんかい【全快】
ぜんかい【全開】
ぜんかい【前回】
ぜんかいいっち【全会[満場]一致】
ぜんかいいっちで…をさいたくする【全会一致で…を採択する】
ぜんかいいっちのげんそく【全会一致の原則】
ぜんかいいっちのげんそく【全会一致の原則】
ぜんかいゆうしょうしゃ【前回優勝者】
ぜんかく【全角】
ぜんかん【全巻】
ぜんかん【全館】
ぜんが【禅画】
ぜんがく【全学】
ぜんがく【全額】
ぜんがく【前額】
ぜんがん【前癌】
ぜんき【前期】
ぜんき【前記】
ぜんきゅうふ【全休符】
ぜんきょく【全局】
ぜんきんせん【漸近線】
ぜんきんだいてき【前近代的】
ぜんく【前駆】
ぜんくつ【前屈】
ぜんぐん【全軍】
ぜんけい【全景】
ぜんけい【前傾】
ぜんけい【前掲】
ぜんけい【前景】
ぜんけいどうぶつ【蠕形動物】
ぜんけん【全権】
ぜんげつ【前月】
ぜんげん【前言】
ぜんげん【漸減】
ぜんこ【全戸】
ぜんこう【全校】
ぜんこう【前項】
ぜんこう【善行】
ぜんこく【全国】
ぜんこくいちりつさーびす【全国一律サービス】
ぜんこくいちりつのきじゅん【全国一律の基準】
ぜんこくいちりつのきじゅん【全国一律の基準】
ぜんこくいちりつのきそく【全国一律の規則】
ぜんこくいちりつのきそく【全国一律の規則】
ぜんこくきぼのへんか【全国規模の変化】
ぜんこくきゃんぺーん【全国キャンペーン】
ぜんこくしちょうかい【全国市長会】
ぜんこくそしき【全国組織】
ぜんこくつあー【全国ツアー】
ぜんこくてきにきめたもくひょう【全国的に決めた目標】
ぜんこくでわだいをあつめている【全国で話題を集めている】
ぜんこくにゅーす【全国ニュース】
ぜんこくのうぎょうきょうどうくみあいちゅうおうかい【全国農業協同組合中央会】
ぜんこくのがっこうへつうちをだす【全国の学校へ通知を出す】
ぜんこくみん【全国民】
ぜんこくゆうびんきょくちょうかい【全国郵便局長会[全特《略》]】
ぜんこくをあんぎゃする【《遊説などで》全国を行脚する】
ぜんご【前後】
ぜんごう【前号】
ぜんごさく【善後策】
ぜんごのわきまえ【前後のわきまえ】
ぜんさい【前菜】
ぜんさらりーまんのにじゅっぱーせんと【全サラリーマンの２０パーセント】
ぜんざ【前座】
ぜんざい【善哉】
ぜんざいさん【全財産】
ぜんし【全史】
ぜんし【全紙】
ぜんし【前史】
ぜんし【前肢】
ぜんしつ【全室】
ぜんしゃ【前者】
ぜんしゃ【前車】
ぜんしゃいちがんとなって【全社一丸となって】
ぜんしゅう【ぜんしゅう(全州)】
ぜんしゅう【全周】
ぜんしゅう【全集】
ぜんしゅう【禅宗】
ぜんしゅつ【前出】
ぜんしょ【全書】
ぜんしょ【善処】
ぜんしょう【全勝】
ぜんしょう【全焼】
ぜんしょう【前哨】
ぜんしょうとう【前照灯】
ぜんしょうひしゃのはんのう【全消費者の反応】
ぜんしょうゆうしょう【全勝優勝】
ぜんしん【全身】
ぜんしん【前身】
ぜんしん【前進】
ぜんしん【前震】
ぜんしん【漸進】
ぜんじ【漸次】
ぜんじだい【前時代】
ぜんじつ【前日】
ぜんじゅつ【前述】
ぜんじょう【前条】
ぜんじょう【禅譲】
ぜんじん【全人】
ぜんじん【前人】
ぜんず【全図】
ぜんせ【前世】
ぜんせい【全盛】
ぜんせい【善政】
ぜんせいき【前世紀】
ぜんせかい【全世界】
ぜんせきしてい【全席指定】
ぜんせたいにちずをはいふする【全世帯に地図を配布する】
ぜんせつ【前説】
ぜんせん【全線】
ぜんせん【前線】
ぜんせん【善戦】
ぜんぜん【全然】
ぜんぜん－【前前－】
ぜんそう【前奏】
ぜんそう【禅僧】
ぜんそく【喘息】
ぜんそくりょく【全速力】
ぜんそん【全損】
ぜんぞう【漸増】
ぜんたい【全体】
ぜんたい【全隊】
ぜんたいてきけいかん【全体的景観】
ぜんたいてきなてーま【全体的なテーマ】
ぜんたいのばらんす【全体のバランス】
ぜんだい【前代】
ぜんだま【善玉】
ぜんだまきん【善玉菌】
ぜんだまはっかー【善玉ハッカー】
ぜんだん【全段】
ぜんち【全治】
ぜんちきゅうそくいしすてむ【全地球測位システム】
ぜんちし【前置詞】
ぜんちぜんのう【全知全能】
ぜんちとおかかんのけが【全治１０日間のけが】
ぜんちゅう【全中】
ぜんちょう【全長】
ぜんちょう【前兆】
ぜんつう【全通】
ぜんてい【全訂】
ぜんてい【前庭】
ぜんてい【前庭】
ぜんてい【前提】
ぜんていじょうけん【前提条件】
ぜんてき【全摘】
ぜんてつ【前轍】
ぜんてん【全天】
ぜんてん【全店】
ぜんてんこう【全天候】
ぜんてんこうがたとらっく【全天候型トラック】
ぜんでら【禅寺】
ぜんでんげんをうしなう【全電源を失う】
ぜんと【前途】
ぜんとう【前頭】
ぜんとうけんさ【全頭検査】
ぜんとにはおおくのはーどるがよそうされる【前途には多くのハードルが予想される】
ぜんとにはさまざまなはーどるがまちかまえている【前途には様々なハードルが待ち構えている】
ぜんど【全土】
ぜんどう【善導】
ぜんどう【禅堂】
ぜんどう【蠕動】
ぜんなんぜんにょ【善男善女】
ぜんにちせい【全日制】
ぜんにほんこくみん【全日本国民】
ぜんにほんこくみんをかばーするこうてきほけんせいど【全日本国民をカバーする公的保険制度】
ぜんにほんじゅうどうれんめい【全日本柔道連盟】
ぜんにん【前任】
ぜんにん【善人】
ぜんねん【前年】
ぜんねんひやくごわりまし【前年比約5(割の)割増し】
ぜんねんわれ【(売り上げの)前年割れ】
ぜんのう【全納】
ぜんのう【全能】
ぜんのう【前納】
ぜんはん【前半】
ぜんはんき【前半期】
ぜんば【前場】
ぜんぱい【全廃】
ぜんぱい【全敗】
ぜんぱく【前膊】
ぜんぱん【全般】
ぜんび【善美】
ぜんびん【前便】
ぜんぴ【前非】
ぜんぶ【全部】
ぜんぶ【前部】
ぜんぶ【膳部】
ぜんぶん【全文】
ぜんぶん【前文】
ぜんぷく【全幅】
ぜんぺん【全編全篇】
ぜんぺん【前編】
ぜんほういがいこう【全方位外交】
ぜんぼう【全貌】
ぜんぽう【前方】
ぜんぽうこうえんふん【前方後円墳】
ぜんまい【発条】
ぜんまい【薇】
ぜんみ【禅味】
ぜんめつ【全滅】
ぜんめん【全面】
ぜんめん【前面】
ぜんめんきんえん【全面禁煙】
ぜんめんてききょうりょく【全面的協力】
ぜんめんてきにきょうりょくする【全面的に協力する】
ぜんもう【全盲】
ぜんもん【前門】
ぜんや【前夜】
ぜんやく【全訳】
ぜんやとう【全野党[野党各党]】
ぜんよう【全容】
ぜんよう【善用】
ぜんようをかいめいする【(その問題の)全容を解明する】
ぜんら【全裸】
ぜんらなんどう【ぜんら(全羅)南道】
ぜんらほくどう【ぜんら(全羅)北道】
ぜんりつせん【前立腺】
ぜんりつせんがん【前立腺がん】
ぜんりゃく【前略】
ぜんりゅう【全粒】
ぜんりょう【全寮】
ぜんりょう【善良】
ぜんりょく【全力】
ぜんりん【前輪】
ぜんりん【善隣】
ぜんれい【全霊】
ぜんれい【前例】
ぜんれいとうしゅうがたのけいえい【前例踏襲型の(企業)経営】
ぜんれいのないかいこ【前例のない解雇】
ぜんれき【前歴】
ぜんれつ【前列】
ぜんろう【全聾】
ぜんわん【前腕】
ぜん－【全－】
ぜん－【前－】
ひみつじょうほう【秘密情報】
ゼイゼイ
ゼウス
ゼオライト
ゼッケン
ゼットき【Ｚ旗】
ゼネコン
ゼネスト
ゼネラリスト
ゼネラルマネージャー
ゼブラダニオ
ゼブラフィッシュ
ゼミ
ゼミナール
ゼラチン
ゼラニウム
ゼリー
ゼロ
ゼロックス
－ぜん【－然】
－ぜん【－膳】
ぜいかんけんさかん【税関検査官】
ぜいかんしんこくしょ【税関申告書】
ぜいかんちょう【税関長】
ぜいかんてつづき【税関手続き】
ぜいかんり【税関吏】
ぜいきんたいのう【税金滞納】
ぜいきんひきあてきん【税金引当て金】
ぜいきんひなんち【税金避難［回避］地】
ぜいこみ【税込み】
ぜいしゅう【税収】
ぜいじゃくせい【脆弱性】
ぜいせい【税制】
ぜいせいかいかく【税制改革】
ぜいせいちょうさかい【税制調査会】
ぜいせいはかい【脆性破壊】
ぜいたくざんまい【贅沢三昧】
ぜいびき【税引き】
ぜいびきご【税引き後】
ぜいびきまえ【税引き前】
ぜいふたん【税負担】
ぜいほう【税法】
ぜいむか【税務課】
ぜいむかん【税務官】
ぜいむしょ【税務署】
ぜいむしょいん【税務署員】
ぜいむしょちょう【税務署長】
ぜいりつ【税率】
ぜっかじけん【舌禍事件】
ぜっこうじょう【絶交状】
ぜっしょくりょうほう【絶食療法】
ぜったいおんかん【絶対音感】
ぜったいおんど【絶対温度】
ぜったいくんしゅせい【絶対君主制】
ぜったいし【絶対視】
ぜったいしゃ【絶対者】
ぜったいしゅぎ【絶対主義】
ぜったいたすう【絶対多数】
ぜったいち【絶対値】
ぜったいひょうか【絶対評価】
ぜったいりょう【絶対量】
ぜったいれいど【絶対零度】
ぜつえんじょう【絶縁状】
ぜつえんせん【絶縁線】
ぜつえんたい【絶縁体】
ぜつえんていこう【絶縁抵抗】
ぜつえんテープ【絶縁テープ】
ぜつめつきぐしゅ【絶滅危惧種】
ぜんえいせん【前衛戦】
ぜんえいは【前衛派】
ぜんえいびじゅつ【前衛美術】
ぜんえいぶたい【前衛部隊】
ぜんおんおんかい【全音音階】
ぜんおんかい【全音階】
ぜんおんてい【全音程】
ぜんおんぷ【全音符】
ぜんかいいわい【全快祝い】
ぜんかくもじ【全角文字】
ぜんかくキー【全角キー】
ぜんかもの【前科者】
ぜんがくしゅっしこがいしゃ【全額出資子会社】
ぜんがくほけん【全額保険】
ぜんがくれん【全学連】
ぜんがんしょうじょう【前癌症状】
ぜんきくりこし【前期繰り越し】
ぜんきけっさん【前期決算】
ぜんきしけん【前期試験】
ぜんくしょうじょう【前駆症状】
ぜんけんいいん【全権委員】
ぜんけんいにん【全権委任】
ぜんけんたいし【全権大［公］使】
ぜんけんだん【全権団】
ぜんこくく【全国区】
ぜんこくし【全国紙】
ぜんこくたいかい【全国大会】
ぜんこくちゅうけい【全国中継】
ぜんこくてはい【全国手配】
ぜんこくへいきん【全国平均】
ぜんこくほうそう【全国放送】
ぜんこくほんぶ【全国本部】
ぜんこくブランド【全国ブランド】
ぜんごかんけい【前後関係】
ぜんごふかく【前後不覚】
ぜんしょうきち【前哨基地】
ぜんしょうせん【前哨戦】
ぜんしょうち【前哨地】
ぜんしょうぶたい【前哨部隊】
ぜんしょうゆうしょう【全勝優勝】
ぜんしんうんどう【全身運動】
ぜんしんきち【前進基地】
ぜんしんしゅぎ【漸進主義】
ぜんしんしゅぎしゃ【漸進主義者】
ぜんしんぜんれい【全身全霊】
ぜんしんぞう【全身像】
ぜんしんふずい【全身不随】
ぜんしんますい【全身麻酔】
ぜんじんきょういく【全人教育】
ぜんじんみとう【前人未踏】
ぜんせいき【全盛期［時代］】
ぜんせんきち【前線基地】
ぜんせんていきあつ【前線低気圧】
ぜんせんぶたい【前線部隊】
ぜんそう【禅僧】
ぜんそうきょく【前奏曲】
ぜんそくかんじゃ【喘息患者】
ぜんたいかいぎ【全体会議】
ぜんたいしゅうごう【全体集合】
ぜんたいしゅぎ【全体主義】
ぜんだいみもん【前代未聞】
ぜんだんぬき【全段抜き】
ぜんちしく【前置詞句】
ぜんていきかん【前庭器官】
ぜんていじょうけん【前提条件】
ぜんていばん【全訂版】
ぜんてんカメラ【全天カメラ】
ぜんとうこつ【前頭骨】
ぜんとうよう【前頭葉】
ぜんとりょうえん【前途遼遠りょうえん】
ぜんどううんどう【蠕動運動】
ぜんどうじょう【禅道場】
ぜんにんしゃ【前任者】
ぜんにんち【前任地】
ぜんはんせい【前半生】
ぜんはんせん【前半戦】
ぜんぱいろん【全廃論】
ぜんぱいろんしゃ【全廃論者】
ぜんぶんけんさく【全文検索】
ぜんぽういっちけんさく【前方一致検索】
ぜんまいじかけ【ぜんまい仕掛け】
ぜんまいばかり【ぜんまい秤ばかり】
ぜんめんこうこく【全面広告】
ぜんめんこうわ【全面講和】
ぜんめんせんそう【全面戦争】
ぜんめんだか【全面高】
ぜんめんやす【全面安】
ぜんめんカット【全面カット】
ぜんもんどう【禅問答】
ぜんやさい【前夜祭】
ぜんりつせんえん【前立腺炎】
ぜんりつせんがん【前立腺がん】
ぜんりつせんせっかいしゅじゅつ【前立腺切開手術】
ぜんりつせんひだいしょう【前立腺肥大症】
ぜんりゅうふん【全粒粉】
ぜんりょうせい【全寮制】
ぜんりょくとうきゅう【全力投球】
ぜんりんかんけい【善隣関係】
ぜんりんくどう【前輪駆動】
ぜんりんせいさく【善隣政策】
ぜんりんゆうこうじょうやく【善隣友好条約】
ぜんわんこつ【前腕骨】
ゼネコンおしょく【ゼネコン汚職】
ゼロかいとう【ゼロ回答】
ゼロきんり【ゼロ金利（政策）】
ゼロさい【ゼロ歳（児）】
ゼロせいちょう【ゼロ成長】
ゼロはい【ゼロ敗】
ゼロエミッション
ゼロゲーム
ゼロベクトル
ゼロベースよさん【ゼロベース予算】
ゼロメートルちたい【ゼロメートル地帯】
ぜっときをあげる【Ｚ旗を揚げる】
ぜひない【是非（も）ない】
ぜんしゃのくつがえるはこうしゃのいましめ【前車の覆るは後車の戒め】
ぜんしゃのてつをふむ【前車の轍てつを踏む】
ぜんせいきのいぶつ【前世紀の遺物】
ぜんてつをふむ【前轍を踏む】
ぜいじゃくな【脆弱な】
ぜいたくな
ぜいたくな
ぜせいする【是正する】
ぜっこうする【絶交する】
ぜっこうの【絶好の】
ぜっさんする【絶賛する】
ぜっしょくする【絶食する】
ぜっせいの【絶世の】
ぜつみょうな【絶妙な】
ぜつめいする【絶命する】
ぜつめつする【絶滅する】
ぜつりんの【絶倫の】
ぜんかいする【全快する】
ぜんかいの【前回の】
ぜんしゅつの【前出の】
ぜんしんする【前進する】
ぜんしんする【漸進する】
ぜんじだいてき【前時代的】
ぜんじょうする【禅譲する】
ぜんじんみとうの【前人未踏の】
ぜんそうきょくの【前奏曲の】
ぜんたいしゅぎの【全体主義の】
ぜんたいの【全体の】
ぜんちする【全治する】
ぜんちぜんのうの【全知全能の】
ぜんていの【前庭の】
ぜんてんこうの【全天候（用）の】
ぜんのうする【前納する】
ぜんのうの【全能の】
ぜんぱいする【全廃する】
ぜんぱいする【全敗する】
ぜんぱんに【全般（的）に】
ぜんぶの【全部の】
ぜんめつさせる【全滅させる】
ぜんらの【全裸の】
ぜんりょうな【善良な】
ぜんろうの【全聾の】
